player_name_raw_skillcorner,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source,player_name_normalized,season_scope
Akito Tanahashi,1800.31,Right Winger,1126.21,62.56,Wide Attacker,Left Winger,366.72,20.37,Wide Attacker,"Right Winger(1126min/62.6%), Left Winger(367min/20.4%), CF(213min/11.8%), Attacking Midfield(94min/5.2%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Akito Tanahashi,2024-2025
Akito Ueno,2113.4,Left Wing Back,1111.13,52.58,Full Back,Left Back,794.06,37.57,Full Back,"Left Wing Back(1111min/52.6%), Left Back(794min/37.6%), Left Winger(109min/5.2%), Right Wing Back(25min/1.2%), Center Forward(24min/1.1%), LW(23min/1.1%), Substitute(16min/0.7%), CF(11min/0.5%)",SB,サイドバック,Left Wing Back (Position Group: Full Back),Akito Ueno,2024-2025
Anderson Patric Aguiar Oliveira,1875.55,Center Forward,1785.87,95.22,Center Forward,Right Forward,68.25,3.64,Wide Attacker,"Center Forward(1786min/95.2%), Right Forward(68min/3.6%), Right Midfield(21min/1.1%)",FW,フォワード,Center Forward (Position Group: Center Forward),Anderson Patric Aguiar Oliveira,2024-2025
Andrew Kumagai,1823.09,Left Midfield,755.35,41.43,Midfield,LM,541.96,29.73,Midfield,"Left Midfield(755min/41.4%), LM(542min/29.7%), RM(305min/16.7%), Right Midfield(178min/9.8%), Left Winger(21min/1.2%), Left Wing Back(15min/0.8%), Center Midfield(6min/0.3%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield),Andrew Kumagai,2024-2025
Anri Narita,116.58,Center Forward,89.36,76.65,Center Forward,Right Winger,27.22,23.35,Wide Attacker,"Center Forward(89min/76.7%), Right Winger(27min/23.3%)",FW,フォワード,Center Forward (Position Group: Center Forward),Anri Narita,2024-2025
Aoi Sato,4358.55,CF,1233.69,28.31,Center Forward,Left Midfield,958.05,21.98,Midfield,"CF(1234min/28.3%), Left Midfield(958min/22.0%), Left Winger(710min/16.3%), Defensive Midfield(643min/14.7%), Left Wing Back(460min/10.5%), Right Midfield(194min/4.4%), Left Center Back(98min/2.3%), AM(62min/1.4%)",FW,フォワード,CF (Position Group: Center Forward),Aoi Sato,2024-2025
Aozora Ishiyama,390.87,Left Midfield,175.95,45.01,Midfield,Right Midfield,150.5,38.5,Midfield,"Left Midfield(176min/45.0%), Right Midfield(150min/38.5%), Right Winger(57min/14.5%), Right Wing Back(8min/2.0%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield),Aozora Ishiyama,2024-2025
Aria Jasuru Hasegawa,331.76,RM,237.69,71.65,Midfield,LF,35.7,10.76,Wide Attacker,"RM(238min/71.6%), LF(36min/10.8%), LM(34min/10.1%), DM(25min/7.5%)",SH,サイドハーフ,RM (Position Group: Midfield),Aria Jasuru Hasegawa,2024-2025
Arthur Silva Feitoza,1873.26,RM,1358.06,72.5,Midfield,CF,241.1,12.87,Center Forward,"RM(1358min/72.5%), CF(241min/12.9%), DM(102min/5.4%), LF(98min/5.2%), AM(74min/4.0%)",SH,サイドハーフ,RM (Position Group: Midfield),Arthur Silva Feitoza,2024-2025
Asahi  Kanehara,388.55,Right Midfield,246.29,63.39,Midfield,Left Wing Back,80.54,20.73,Full Back,"Right Midfield(246min/63.4%), Left Wing Back(81min/20.7%), Left Winger(62min/15.9%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield),Asahi  Kanehara,2024-2025
Asahi Haga,1659.97,Left Midfield,418.52,25.21,Midfield,Right Midfield,336.31,20.26,Midfield,"Left Midfield(419min/25.2%), Right Midfield(336min/20.3%), Center Midfield(300min/18.0%), LW(289min/17.4%), Defensive Midfield(127min/7.6%), LM(97min/5.8%), LDM(34min/2.0%), Left Defensive Midfield(25min/1.5%), RM(22min/1.3%), RDM(13min/0.8%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield),Asahi Haga,2024-2025
Asahi Yada,1089.15,AM,489.77,44.97,Midfield,Attacking Midfield,176.59,16.21,Midfield,"AM(490min/45.0%), Attacking Midfield(177min/16.2%), Left Midfield(168min/15.5%), CF(138min/12.7%), LDM(50min/4.6%), RDM(31min/2.8%), RW(24min/2.2%), RM(7min/0.7%), Right Defensive Midfield(5min/0.5%)",ST,セカンドトップ,AM (Position Group: Midfield),Asahi Yada,2024-2025
Atsuhito Ihara,1788.08,CF,869.87,48.65,Center Forward,Center Forward,746.7,41.76,Center Forward,"CF(870min/48.6%), Center Forward(747min/41.8%), Left Winger(128min/7.2%), Right Winger(34min/1.9%), Right Back(10min/0.5%)",FW,フォワード,CF (Position Group: Center Forward),Atsuhito Ihara,2024-2025
Atsuki Tojo,2865.13,Right Midfield,968.44,33.8,Midfield,Left Midfield,618.65,21.59,Midfield,"Right Midfield(968min/33.8%), Left Midfield(619min/21.6%), Right Winger(543min/18.9%), Left Winger(202min/7.1%), RW(172min/6.0%), RF(135min/4.7%), AM(81min/2.8%), LF(63min/2.2%), LM(49min/1.7%), CF(33min/1.2%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield),Atsuki Tojo,2024-2025
Atsuki Yamanaka,1276.12,Left Winger,463.73,36.34,Wide Attacker,Left Wing Back,376.15,29.48,Full Back,"Left Winger(464min/36.3%), Left Wing Back(376min/29.5%), Left Forward(339min/26.6%), Right Wing Back(85min/6.7%), Center Forward(12min/1.0%)",SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Atsuki Yamanaka,2024-2025
Atsushi  Kikutani,1506.5,AM,586.95,38.96,Midfield,RM,551.78,36.63,Midfield,"AM(587min/39.0%), RM(552min/36.6%), LW(161min/10.7%), CF(86min/5.7%), RW(82min/5.4%), RF(39min/2.6%)",ST,セカンドトップ,AM (Position Group: Midfield),Atsushi  Kikutani,2024-2025
Atsushi Kawata,1367.81,Center Forward,1058.82,77.41,Center Forward,Left Midfield,172.67,12.62,Midfield,"Center Forward(1059min/77.4%), Left Midfield(173min/12.6%), Left Winger(105min/7.7%), Right Winger(31min/2.3%)",FW,フォワード,Center Forward (Position Group: Center Forward),Atsushi Kawata,2024-2025
Atsushi Nabeta,828.8,RCB,756.73,91.3,Central Defender,LCB,46.37,5.59,Central Defender,"RCB(757min/91.3%), LCB(46min/5.6%), RB(26min/3.1%)",CB,センターバック,RCB (Position Group: Central Defender),Atsushi Nabeta,2024-2025
Atsushi Yoshida,940.24,Left Forward,378.43,40.25,Wide Attacker,Left Winger,362.31,38.53,Wide Attacker,"Left Forward(378min/40.2%), Left Winger(362min/38.5%), Right Winger(103min/11.0%), Right Midfield(64min/6.8%), Center Forward(22min/2.4%), Right Forward(10min/1.1%)",SH,サイドハーフ,Left Forward (Position Group: Wide Attacker),Atsushi Yoshida,2024-2025
Atsutaka Nakamura,586.54,CF,215.85,36.8,Center Forward,RF,179.97,30.68,Wide Attacker,"CF(216min/36.8%), RF(180min/30.7%), RW(70min/11.9%), LW(52min/8.9%), RM(46min/7.9%), LM(22min/3.8%)",FW,フォワード,CF (Position Group: Center Forward),Atsutaka Nakamura,2024-2025
Ayahi Sakurai,552.87,Left Winger,426.22,77.09,Wide Attacker,Left Midfield,126.65,22.91,Midfield,"Left Winger(426min/77.1%), Left Midfield(127min/22.9%)",SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Ayahi Sakurai,2024-2025
Ayumu Matsumoto,917.3,RWB,625.6,68.2,Full Back,RW,141.01,15.37,Wide Attacker,"RWB(626min/68.2%), RW(141min/15.4%), RB(86min/9.4%), Right Winger(28min/3.0%), LW(16min/1.7%), Right Center Back(14min/1.5%), Left Winger(8min/0.9%)",SB,サイドバック,RWB (Position Group: Full Back),Ayumu Matsumoto,2024-2025
Azusa  Takayama,12.4,Right Center Back,12.4,100.0,Central Defender,,,,,Right Center Back(12min/100.0%),CB,センターバック,Right Center Back (Position Group: Central Defender),Azusa  Takayama,2024-2025
Bevic Moussiti-Oko,296.21,Center Forward,296.21,100.0,Center Forward,,,,,Center Forward(296min/100.0%),FW,フォワード,Center Forward (Position Group: Center Forward),Bevic Moussiti-Oko,2024-2025
Bruno Santos de Oliveira,180.83,CF,180.83,100.0,Center Forward,,,,,CF(181min/100.0%),FW,フォワード,CF (Position Group: Center Forward),Bruno Santos de Oliveira,2024-2025
Bunta Ino,87.35,RW,74.35,85.12,Wide Attacker,RDM,13.0,14.88,Midfield,"RW(74min/85.1%), RDM(13min/14.9%)",SH,サイドハーフ,RW (Position Group: Wide Attacker),Bunta Ino,2024-2025
Byron Gustavo Andrés Vásquez Maragaño,1191.27,Right Forward,747.6,62.76,Wide Attacker,Right Winger,311.51,26.15,Wide Attacker,"Right Forward(748min/62.8%), Right Winger(312min/26.1%), Left Forward(79min/6.7%), Left Midfield(53min/4.4%)",SH,サイドハーフ,Right Forward (Position Group: Wide Attacker),Byron Gustavo Andrés Vásquez Maragaño,2024-2025
Carlos Eduardo da Silva Rodrigues Lima,253.23,Right Center Back,152.3,60.14,Central Defender,Left Center Back,100.93,39.86,Central Defender,"Right Center Back(152min/60.1%), Left Center Back(101min/39.9%)",CB,センターバック,Right Center Back (Position Group: Central Defender),Carlos Eduardo da Silva Rodrigues Lima,2024-2025
Charles Nduka,1342.27,Center Forward,1215.27,90.54,Center Forward,Right Winger,120.23,8.96,Wide Attacker,"Center Forward(1215min/90.5%), Right Winger(120min/9.0%), Right Back(7min/0.5%)",FW,フォワード,Center Forward (Position Group: Center Forward),Charles Nduka,2024-2025
Cheikh Diamanka,69.53,Center Forward,43.34,62.33,Center Forward,Left Midfield,16.52,23.76,Midfield,"Center Forward(43min/62.3%), Left Midfield(17min/23.8%), Left Winger(10min/13.9%)",FW,フォワード,Center Forward (Position Group: Center Forward),Cheikh Diamanka,2024-2025
Dai Hirase,548.03,Right Center Back,395.25,72.12,Central Defender,Left Center Back,118.15,21.56,Central Defender,"Right Center Back(395min/72.1%), Left Center Back(118min/21.6%), Center Forward(20min/3.7%), Left Winger(15min/2.7%)",CB,センターバック,Right Center Back (Position Group: Central Defender),Dai Hirase,2024-2025
Dai Tsukamoto,367.83,LW,168.19,45.72,Wide Attacker,LF,129.65,35.25,Wide Attacker,"LW(168min/45.7%), LF(130min/35.2%), AM(29min/7.8%), Left Winger(28min/7.7%), RM(13min/3.5%)",SH,サイドハーフ,LW (Position Group: Wide Attacker),Dai Tsukamoto,2024-2025
Daichi  Kawai,75.23,Right Winger,46.65,62.01,Wide Attacker,Left Winger,28.58,37.99,Wide Attacker,"Right Winger(47min/62.0%), Left Winger(29min/38.0%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Daichi  Kawai,2024-2025
Daichi Ichimaru Daichi Ichimaru,1365.53,Right Wing Back,563.52,41.27,Full Back,Right Back,508.8,37.26,Full Back,"Right Wing Back(564min/41.3%), Right Back(509min/37.3%), Right Center Back(293min/21.5%)",SB,サイドバック,Right Wing Back (Position Group: Full Back),Daichi Ichimaru Daichi Ichimaru,2024-2025
Daichi Kobayashi,1751.12,Right Center Back,750.91,42.88,Central Defender,Left Center Back,492.66,28.13,Central Defender,"Right Center Back(751min/42.9%), Left Center Back(493min/28.1%), Center Back(485min/27.7%), Center Forward(14min/0.8%), Left Midfield(9min/0.5%)",CB,センターバック,Right Center Back (Position Group: Central Defender),Daichi Kobayashi,2024-2025
Daichi Matsuoka,1273.81,RW,1209.56,94.96,Wide Attacker,AM,28.7,2.25,Midfield,"RW(1210min/95.0%), AM(29min/2.3%), LW(18min/1.5%), LDM(17min/1.3%)",SH,サイドハーフ,RW (Position Group: Wide Attacker),Daichi Matsuoka,2024-2025
Daichi Soga,4037.91,LM,1706.05,42.25,Midfield,Left Midfield,1335.38,33.07,Midfield,"LM(1706min/42.3%), Left Midfield(1335min/33.1%), Defensive Midfield(402min/10.0%), Right Midfield(338min/8.4%), RM(122min/3.0%), LDM(79min/2.0%), Right Winger(51min/1.3%), Left Winger(4min/0.1%)",SH,サイドハーフ,LM (Position Group: Midfield),Daichi Soga,2024-2025
Daigo Araki,2994.17,LW,1531.57,51.15,Wide Attacker,Right Winger,463.53,15.48,Wide Attacker,"LW(1532min/51.2%), Right Winger(464min/15.5%), Right Forward(262min/8.8%), AM(248min/8.3%), LWB(116min/3.9%), Center Midfield(96min/3.2%), RF(70min/2.3%), Left Winger(65min/2.2%), RW(50min/1.7%), Right Midfield(42min/1.4%), RWB(30min/1.0%), Center Forward(19min/0.6%)",SH,サイドハーフ,LW (Position Group: Wide Attacker),Daigo Araki,2024-2025
Daigo Furukawa,1883.47,CF,1883.47,100.0,Center Forward,,,,,CF(1883min/100.0%),FW,フォワード,CF (Position Group: Center Forward),Daigo Furukawa,2024-2025
Daigo Nishi,749.52,RB,314.44,41.95,Full Back,RCB,194.33,25.93,Central Defender,"RB(314min/42.0%), RCB(194min/25.9%), RM(98min/13.1%), LWB(65min/8.6%), DM(57min/7.6%), LM(21min/2.8%)",SB,サイドバック,RB (Position Group: Full Back),Daigo Nishi,2024-2025
Daigo Takahashi,1373.9,Right Winger,693.9,50.51,Wide Attacker,Attacking Midfield,545.82,39.73,Midfield,"Right Winger(694min/50.5%), Attacking Midfield(546min/39.7%), Left Winger(89min/6.5%), Center Forward(45min/3.3%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Daigo Takahashi,2024-2025
Daiki  Kusunoki,555.48,RW,535.71,96.44,Wide Attacker,AM,19.77,3.56,Midfield,"RW(536min/96.4%), AM(20min/3.6%)",SH,サイドハーフ,RW (Position Group: Wide Attacker),Daiki  Kusunoki,2024-2025
Daiki Higuchi,5026.95,Left Wing Back,1578.38,31.4,Full Back,RB,1317.45,26.21,Full Back,"Left Wing Back(1578min/31.4%), RB(1317min/26.2%), Right Wing Back(918min/18.3%), LWB(604min/12.0%), LB(518min/10.3%), Substitute(30min/0.6%), Right Back(23min/0.5%), Left Back(22min/0.4%), RWB(15min/0.3%)",SB,サイドバック,Left Wing Back (Position Group: Full Back),Daiki Higuchi,2024-2025
Daiki Kogure,769.61,LWB,224.66,29.19,Full Back,RCB,210.36,27.33,Central Defender,"LWB(225min/29.2%), RCB(210min/27.3%), RWB(198min/25.7%), LB(126min/16.3%), RB(11min/1.5%)",SB,サイドバック,LWB (Position Group: Full Back),Daiki Kogure,2024-2025
Daiki Nakashio,448.6,Right Midfield,175.28,39.07,Midfield,Left Center Back,97.35,21.7,Central Defender,"Right Midfield(175min/39.1%), Left Center Back(97min/21.7%), Left Winger(81min/18.0%), Left Back(79min/17.6%), Left Wing Back(16min/3.7%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield),Daiki Nakashio,2024-2025
Daiki Ogawa,2249.73,Right Wing Back,1933.03,85.92,Full Back,Right Back,258.53,11.49,Full Back,"Right Wing Back(1933min/85.9%), Right Back(259min/11.5%), Left Wing Back(58min/2.6%)",SB,サイドバック,Right Wing Back (Position Group: Full Back),Daiki Ogawa,2024-2025
Daiki Yagishita,1970.62,RCB,1652.49,83.86,Central Defender,Right Center Back,213.29,10.82,Central Defender,"RCB(1652min/83.9%), Right Center Back(213min/10.8%), Left Center Back(71min/3.6%), Right Winger(16min/0.8%), Left Midfield(10min/0.5%), Center Forward(6min/0.3%), Center Back(2min/0.1%)",CB,センターバック,RCB (Position Group: Central Defender),Daiki Yagishita,2024-2025
Daisei Suzuki,5455.63,Right Center Back,2258.13,41.39,Central Defender,RCB,1191.17,21.83,Central Defender,"Right Center Back(2258min/41.4%), RCB(1191min/21.8%), LCB(989min/18.1%), Left Center Back(493min/9.0%), CB(298min/5.5%), Left Back(98min/1.8%), Center Back(97min/1.8%), Left Winger(18min/0.3%), Left Midfield(13min/0.2%)",CB,センターバック,Right Center Back (Position Group: Central Defender),Daisei Suzuki,2024-2025
Daisuke  Fukagawa,4020.94,Center Back,1799.94,44.76,Central Defender,CB,554.98,13.8,Central Defender,"Center Back(1800min/44.8%), CB(555min/13.8%), RM(553min/13.7%), LM(358min/8.9%), DM(199min/5.0%), RCB(199min/4.9%), LCB(103min/2.6%), Defensive Midfield(100min/2.5%), Right Center Back(99min/2.5%), Center Midfield(29min/0.7%), Left Center Back(27min/0.7%)",CB,センターバック,Center Back (Position Group: Central Defender),Daisuke  Fukagawa,2024-2025
Daisuke Inazumi,3965.09,Right Midfield,1936.34,48.83,Midfield,LWB,889.28,22.43,Full Back,"Right Midfield(1936min/48.8%), LWB(889min/22.4%), Left Wing Back(807min/20.4%), Left Winger(172min/4.3%), Left Midfield(72min/1.8%), Right Wing Back(64min/1.6%), Right Winger(19min/0.5%), LB(5min/0.1%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield),Daisuke Inazumi,2024-2025
Daisuke Kato,5469.48,Right Center Back,2082.3,38.07,Central Defender,Left Center Back,1378.43,25.2,Central Defender,"Right Center Back(2082min/38.1%), Left Center Back(1378min/25.2%), RCB(1166min/21.3%), CB(493min/9.0%), LCB(103min/1.9%), Right Back(100min/1.8%), RWB(98min/1.8%), Center Back(49min/0.9%)",CB,センターバック,Right Center Back (Position Group: Central Defender),Daisuke Kato,2024-2025
Daisuke Matsumoto,2856.49,Right Center Back,2737.42,95.83,Central Defender,Left Back,95.22,3.33,Full Back,"Right Center Back(2737min/95.8%), Left Back(95min/3.3%), Right Midfield(15min/0.5%), Left Midfield(9min/0.3%)",CB,センターバック,Right Center Back (Position Group: Central Defender),Daisuke Matsumoto,2024-2025
Daisuke Takagi,2402.62,Center Forward,1362.37,56.7,Center Forward,CF,419.66,17.47,Center Forward,"Center Forward(1362min/56.7%), CF(420min/17.5%), Left Winger(156min/6.5%), Attacking Midfield(116min/4.8%), RW(89min/3.7%), Right Winger(82min/3.4%), RM(50min/2.1%), LW(49min/2.0%), Right Midfield(37min/1.5%), Right Wing Back(30min/1.2%), LCB(12min/0.5%)",FW,フォワード,Center Forward (Position Group: Center Forward),Daisuke Takagi,2024-2025
Daizo Horikoshi,453.82,Left Winger,397.02,87.48,Wide Attacker,Right Forward,32.08,7.07,Wide Attacker,"Left Winger(397min/87.5%), Right Forward(32min/7.1%), Center Forward(25min/5.4%)",SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Daizo Horikoshi,2024-2025
Eduardo Figueiredo da Cruz,296.9,Right Wing Back,161.81,54.5,Full Back,Left Winger,96.26,32.42,Wide Attacker,"Right Wing Back(162min/54.5%), Left Winger(96min/32.4%), Right Winger(39min/13.1%)",SB,サイドバック,Right Wing Back (Position Group: Full Back),Eduardo Figueiredo da Cruz,2024-2025
Ei Gyotoku,1250.58,Right Center Back,766.11,61.26,Central Defender,Right Wing Back,102.17,8.17,Full Back,"Right Center Back(766min/61.3%), Right Wing Back(102min/8.2%), RCB(98min/7.8%), Left Center Back(96min/7.7%), Left Back(95min/7.6%), Center Back(68min/5.4%), Right Winger(18min/1.4%), Left Midfield(7min/0.5%)",CB,センターバック,Right Center Back (Position Group: Central Defender),Ei Gyotoku,2024-2025
Eiichi Nakata,168.82,Left Center Back,132.66,78.58,Central Defender,Right Center Back,22.83,13.52,Central Defender,"Left Center Back(133min/78.6%), Right Center Back(23min/13.5%), Left Wing Back(8min/4.8%), Left Midfield(5min/3.1%)",CB,センターバック,Left Center Back (Position Group: Central Defender),Eiichi Nakata,2024-2025
Eiru Aratama,13.43,LWB,13.43,100.0,Full Back,,,,,LWB(13min/100.0%),SB,サイドバック,LWB (Position Group: Full Back),Eiru Aratama,2024-2025
Eisuke Watanabe,2571.59,Left Midfield,1251.46,48.66,Midfield,Right Midfield,818.97,31.85,Midfield,"Left Midfield(1251min/48.7%), Right Midfield(819min/31.8%), Right Back(303min/11.8%), Right Center Back(100min/3.9%), Left Back(98min/3.8%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield),Eisuke Watanabe,2024-2025
Enric Martínez Ros,746.77,Left Midfield,430.83,57.69,Midfield,Right Midfield,206.35,27.63,Midfield,"Left Midfield(431min/57.7%), Right Midfield(206min/27.6%), Right Winger(68min/9.1%), Left Winger(42min/5.6%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield),Enric Martínez Ros,2024-2025
Eugene Fukui,47.27,LWB,47.27,100.0,Full Back,,,,,LWB(47min/100.0%),SB,サイドバック,LWB (Position Group: Full Back),Eugene Fukui,2024-2025
Everton Silva Amaro,69.16,CF,69.16,100.0,Center Forward,,,,,CF(69min/100.0%),FW,フォワード,CF (Position Group: Center Forward),Everton Silva Amaro,2024-2025
Fabián Andrés González Lasso,474.44,CF,413.33,87.12,Center Forward,LF,37.55,7.91,Wide Attacker,"CF(413min/87.1%), LF(38min/7.9%), RF(14min/2.9%), LWB(10min/2.0%)",FW,フォワード,CF (Position Group: Center Forward),Fabián Andrés González Lasso,2024-2025
Farzan Sana Mohammad,344.45,Left Wing Back,322.58,93.65,Full Back,Left Winger,21.87,6.35,Wide Attacker,"Left Wing Back(323min/93.7%), Left Winger(22min/6.3%)",SB,サイドバック,Left Wing Back (Position Group: Full Back),Farzan Sana Mohammad,2024-2025
Frank Romero,122.17,Left Midfield,122.17,100.0,Midfield,,,,,Left Midfield(122min/100.0%),SH,サイドハーフ,Left Midfield (Position Group: Midfield),Frank Romero,2024-2025
Fuga  Sakurai,669.41,RWB,275.59,41.17,Full Back,Right Wing Back,183.98,27.48,Full Back,"RWB(276min/41.2%), Right Wing Back(184min/27.5%), Right Back(125min/18.6%), Right Winger(54min/8.1%), Center Forward(17min/2.5%), Left Back(14min/2.1%)",SB,サイドバック,RWB (Position Group: Full Back),Fuga  Sakurai,2024-2025
Fumiya Takayanagi,3619.08,RM,1187.26,32.81,Midfield,Right Midfield,846.84,23.4,Midfield,"RM(1187min/32.8%), Right Midfield(847min/23.4%), Right Defensive Midfield(812min/22.4%), Right Winger(325min/9.0%), Left Defensive Midfield(223min/6.2%), Left Midfield(102min/2.8%), AM(35min/1.0%), RW(29min/0.8%), LW(21min/0.6%), Left Winger(15min/0.4%), LM(14min/0.4%), RDM(10min/0.3%)",SH,サイドハーフ,RM (Position Group: Midfield),Fumiya Takayanagi,2024-2025
Futo Yoshihara,270.49,Left Wing Back,150.82,55.76,Full Back,Left Winger,68.78,25.43,Wide Attacker,"Left Wing Back(151min/55.8%), Left Winger(69min/25.4%), Right Winger(28min/10.2%), Attacking Midfield(23min/8.6%)",SB,サイドバック,Left Wing Back (Position Group: Full Back),Futo Yoshihara,2024-2025
Gabriel Henrique,8.87,Center Forward,8.87,100.0,Center Forward,,,,,Center Forward(9min/100.0%),FW,フォワード,Center Forward (Position Group: Center Forward),Gabriel Henrique,2024-2025
Gabriel Nascimento,456.59,RDM,229.82,50.33,Midfield,LDM,166.32,36.43,Midfield,"RDM(230min/50.3%), LDM(166min/36.4%), RM(60min/13.2%)",CMF,セントラルMF,RDM (Position Group: Midfield),Gabriel Nascimento,2024-2025
Gen  Matsumura,1283.36,Left Center Back,840.66,65.5,Central Defender,Right Center Back,282.12,21.98,Central Defender,"Left Center Back(841min/65.5%), Right Center Back(282min/22.0%), Center Forward(45min/3.5%), Left Midfield(38min/3.0%), Left Wing Back(37min/2.9%), Right Midfield(34min/2.7%), Left Defensive Midfield(7min/0.5%)",CB,センターバック,Left Center Back (Position Group: Central Defender),Gen  Matsumura,2024-2025
Genichi Endo,977.39,RCB,559.25,57.22,Central Defender,LCB,309.87,31.7,Central Defender,"RCB(559min/57.2%), LCB(310min/31.7%), CB(108min/11.1%)",CB,センターバック,RCB (Position Group: Central Defender),Genichi Endo,2024-2025
Genki  Egawa,3528.04,Left Center Back,2274.0,64.46,Central Defender,LCB,1052.1,29.82,Central Defender,"Left Center Back(2274min/64.5%), LCB(1052min/29.8%), RCB(173min/4.9%), Left Back(13min/0.4%), Right Center Back(11min/0.3%), Center Forward(5min/0.1%)",CB,センターバック,Left Center Back (Position Group: Central Defender),Genki  Egawa,2024-2025
Genta Omotehara Genta Omotehara,150.15,Right Midfield,55.74,37.12,Midfield,Left Midfield,46.03,30.66,Midfield,"Right Midfield(56min/37.1%), Left Midfield(46min/30.7%), Center Midfield(32min/21.1%), Left Forward(17min/11.1%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield),Genta Omotehara Genta Omotehara,2024-2025
